20200208,浦东,高东,低总价三房+2010年次新小区+采光好位置佳必看好房,394万,3室1厅 | 93.2平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_C85pOKWOZ_1.jpg.296x216.jpg
20200208,浦东,高东,10年新房+地铁6/10号线+森兰国际社区+一手动迁税费低必看好房,225万,1室1厅 | 54.1平米 | 南 | 简装 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-fea2bb32-bbad-4e0e-870c-50a29cd76a20.jpg.296x216.jpg
20200208,浦东,高东,一手动迁，精、装修，景，观楼层，视野好，六号线旁必看好房,298万,2室1厅 | 74.27平米 | 南 | 简装 | 高楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e23f90d1-d0b9-4b8b-b4ef-f0d4be054ec2.jpg.296x216.jpg
20200208,浦东,高东,新出好房 中间位置 中间楼层 精心装修 税费少诚心卖,980万,4室2厅 | 163平米 | 南 | 精装 | 中楼层(共12层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ie747CpZ4_1.jpg.296x216.jpg
20200208,浦东,高东,10年次新房 钥匙看房 看房方便 业主诚意出售,210万,1室1厅 | 56.72平米 | 南 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_HWA9lfFZn_1.jpg.296x216.jpg
20200208,浦东,高东,一手动迁税费少，毛坯房装修方便，随时看房,290万,2室1厅 | 74平米 | 南 | 毛坯 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-873f21d3-b843-4bbf-bd94-8632e6949c22.jpg.296x216.jpg
20200208,浦东,高东,一梯一户+大四房+一手新房+忠心位置+景观房,1017万,4室2厅 | 173.15平米 | 南 | 毛坯 | 中楼层(共13层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_RXL797m9v_1.jpg.296x216.jpg
20200208,浦东,高东,低总价两房+地铁沿线+诚意出售,280万,2室1厅 | 74.27平米 | 南 北 | 简装 | 低楼层(共11层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9d88092b-2c6c-4b15-8253-c40f1c1daef2.jpg.296x216.jpg
20200208,浦东,高东,高行绿洲(五期) 1室2厅 235万,235万,1室2厅 | 54.1平米 | 南 | 毛坯 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_DpjVm6TLr_1.jpg.296x216.jpg
20200208,浦东,高东,一手动迁，看房方便，小区中间位置，诚意出售。,383万,3室1厅 | 93.3平米 | 南 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6ef6a6a8-3016-4635-8f42-8a1ddc7f7ddf.jpg.296x216.jpg
20200208,浦东,高东,诚意出售，一手动迁，6号线旁，森兰社区,385万,3室1厅 | 93.4平米 | 南 | 毛坯 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_jskm8SqN1_1.jpg.296x216.jpg
20200208,浦东,高东,正气大四房 360度景观 视野很赞 精美装修 诚心出售！,1280万,4室2厅 | 232.11平米 | 南 | 精装 | 高楼层(共13层) | 2013年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_ou6Dwj816_1.jpg.296x216.jpg
20200208,浦东,高东,小区位置好，房型正气，看房方便,诚意出售,263万,1室1厅 | 67平米 | 南 | 毛坯 | 低楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-dc164c2e-0788-480b-85cb-d5e2ed52eba8.jpg.296x216.jpg
20200208,浦东,高东,精装一房，可拎包入住，采光无遮挡，看房方便。,220万,1室1厅 | 53.98平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_hORR68F5x_1.jpg.296x216.jpg
20200208,浦东,高东,带装修一房，可拎包入住，南北户型，周正房主自荐,208万,1室1厅 | 53.89平米 | 南 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Y2WvZG5ID_1.jpg.296x216.jpg
20200208,浦东,高东,钥匙看房 出行方便 一手动迁税费少 南北通.,200万,1室1厅 | 53.89平米 | 南 | 毛坯 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_0YxRU2Pei_1.jpg.296x216.jpg
20200208,浦东,高东,原始大三房 精装修 配套齐全 满二楼梯房 地铁沿线,395万,3室1厅 | 93.32平米 | 南 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_IB8WSTWwN_1.jpg.296x216.jpg
20200208,浦东,高东,1梯1户 高品质好房 景观楼层 精美装修 税少 诚售,985万,3室2厅 | 159平米 | 南 | 精装 | 中楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c289271b-05f6-422c-87f6-9fae151aef7d.jpg.296x216.jpg
20200208,浦东,高东,一梯一户+大四房+七上楼层+精心设计,1036万,4室2厅 | 173.19平米 | 南 | 精装 | 中楼层(共13层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-acfa4c28-2326-471a-b372-57c058e8113d.png.296x216.jpg
20200208,浦东,高东,森兰绿地旁，临、近到六号线，业主置换，诚意出售。,218万,1室1厅 | 54.1平米 | 南 | 简装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_P4Yj1HDVA.jpg.296x216.jpg
20200208,浦东,高东,小区灵魂位置，适宜自住，前边公园，好楼层,316.6万,2室1厅 | 74.14平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_CEnQY0hxj_1.jpg.296x216.jpg
20200208,浦东,高东,中间楼层精装修三房原始动迁带阳台诚意出售,405万,3室1厅 | 93.71平米 | 南 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6107093a-652e-4e5f-b0a3-f0e3fdb0bd92.jpg.296x216.jpg
20200208,浦东,高东,10年电梯房+地铁6号线+森兰社区+景观楼层+交通便利,230万,1室1厅 | 54.21平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-53fbffa6-c0ee-443b-9dfa-3eb7e29808a8.jpg.296x216.jpg
20200208,浦东,高东,新出景观一改二，小户型，大空间，利用率高诚意出售,235万,2室1厅 | 54.18平米 | 南 | 精装 | 高楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-6d4d750a-1295-4631-8827-345b26380d4e.jpg.296x216.jpg
20200208,浦东,高东,国际社区森兰美伦，遥看森兰湖景，无增值税，看房随时,799万,3室2厅 | 169.74平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,https://image1.ljcdn.com/310000-inspection/1361a10d-bebb-4a86-b7ee-e8e83f607ca3.jpg.296x216.jpg
20200208,浦东,高东,高行绿洲(六期) 2室1厅 318万,318万,2室1厅 | 74.14平米 | 南 | 毛坯 | 中楼层(共14层) | 2011年建 | 板楼,
20200208,浦东,高东,高行绿洲(六期) 2室1厅 316万,316万,2室1厅 | 74.14平米 | 南 | 毛坯 | 中楼层(共14层) | 2011年建 | 板楼,
20200208,浦东,高东,精装一改二，双开间朝南，楼层好位置佳，拎包入住。,270万,1室1厅 | 62.81平米 | 南 | 简装 | 低楼层(共18层) | 2009年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/6a38f90d-e495-497b-9075-29450c51bd8b.png.296x216.jpg
20200208,浦东,高东,绿洲三房，中间楼层，毛坯原始动迁，出门菜场，,395万,3室1厅 | 93.2平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,
20200208,浦东,高东,高楼层非顶楼，距离6号线外高桥保税区南仅1.3公里,317万,2室1厅 | 74.05平米 | 南 | 毛坯 | 高楼层(共14层) | 2011年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/34da8c3d-ff9f-49c0-9b47-b0eb05d6f052.png.296x216.jpg
20200208,浦东,高东,森兰美伦 1房间0卫 230万,230万,1室0厅 | 61.57平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,
20200208,浦东,高东,森兰美伦 5房间1卫 695万,695万,3室2厅 | 174.28平米 | 南 | 精装 | 中楼层(共17层) | 2016年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/b0ee04ec-9016-4053-8f07-645400fa2d80.png.296x216.jpg
20200208,浦东,高东,森兰美伦 2房间1卫 560万,560万,1室1厅 | 145平米 | 南 | 其他 | 高楼层(共12层)  | 塔楼,
20200208,浦东,高东,森兰美伦 2房间1卫 255万,255万,1室1厅 | 62平米 | 南 | 其他 | 高楼层(共12层)  | 塔楼,
20200208,浦东,高东,森兰美伦 5房间2卫 780万,780万,3室2厅 | 172平米 | 南 | 其他 | 低楼层(共17层) | 2017年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/0580ff2e-9720-42f4-b172-39158d06018c.png.296x216.jpg
20200208,浦东,高东,森兰美伦 哈罗旁 可办公 随时可看,750万,1室0厅 | 179平米 | 南 | 简装 | 低楼层(共17层) | 2016年建 | 板楼,https://image1.ljcdn.com/x-se/hdic-frame/prod-fb750345-4fb3-4baf-88e4-2a3d7237396a.png.296x216.jpg
